энтропия = 3.8551

20740	0
6648	4
1893	32
1392	255
687	62
581	48
556	53
472	61
436	56
416	66
379	59
373	65
308	50
287	64
261	58
247	60
227	67
210	54
207	52
204	63
187	6
186	51
181	13
173	46
160	3
160	250
146	79
141	76
140	2
136	44
133	45
130	1
130	49
124	55
119	75
105	7
104	71
98	101
95	72
83	34
82	57
80	22
69	109
68	16
64	116
62	69
61	21
60	8
59	26
59	30
58	110
56	97
55	108
54	20
53	47
50	5
50	78
48	114
46	104
45	17
45	156
44	111
43	33
42	18
42	99
41	240
40	15
40	31
39	28
37	73
37	77
37	115
37	224
36	9
36	29
35	12
35	70
35	120
34	74
33	27
32	23
32	105
32	118
31	24
30	95
29	10
29	25
29	144
28	84
28	158
27	11
27	103
26	68
26	80
26	102
25	14
25	188
24	81
24	86
24	100
23	19
23	40
23	232
22	39
22	82
22	93
22	176
21	36
21	83
21	98
21	122
21	129
21	193
21	198
21	201
21	229
21	254
20	87
20	117
20	136
20	168
20	186
20	200
20	230
19	35
19	38
19	42
19	137
19	237
18	127
18	132
18	150
18	152
18	160
18	174
18	204
18	214
18	219
18	225
18	249
18	253
17	88
17	112
17	128
17	142
17	143
17	164
17	189
17	205
17	211
17	213
17	246
16	85
16	94
16	119
16	121
16	161
16	167
16	178
16	192
16	217
16	247
15	37
15	43
15	107
15	131
15	135
15	138
15	145
15	146
15	159
15	165
15	166
15	171
15	172
15	191
15	195
15	226
15	235
15	236
15	238
14	106
14	113
14	140
14	154
14	173
14	180
14	183
14	185
14	190
14	208
14	209
14	221
14	227
14	239
13	89
13	92
13	126
13	130
13	134
13	141
13	155
13	170
13	177
13	187
13	196
13	206
13	207
13	210
13	223
13	241
13	242
12	91
12	96
12	175
12	194
12	199
12	203
12	212
12	222
12	233
12	244
11	123
11	216
11	228
11	231
11	248
10	124
10	162
10	182
10	197
10	220
10	234
10	252
9	139
9	163
9	202
9	215
9	243
8	90
8	151
8	153
8	179
8	181
8	184
8	245
7	41
7	125
7	147
7	148
7	157
7	218
6	133
6	149
5	169
5	251
