энтропия = 2.45244

213795	255
11867	0
2247	254
2124	253
1998	252
1824	251
1584	250
1326	249
1307	1
1281	248
1254	247
1239	246
948	245
939	3
927	2
877	4
867	244
772	243
726	5
660	6
630	242
609	241
603	8
594	7
589	16
567	240
552	9
471	10
471	181
468	184
468	189
444	180
441	186
432	238
426	182
417	183
405	11
402	239
396	187
390	188
387	173
378	12
375	13
364	191
357	172
357	176
357	194
357	237
354	171
354	192
351	185
351	199
348	166
348	174
339	165
339	177
339	178
339	198
339	201
336	161
333	175
333	179
330	169
330	195
330	196
327	168
327	193
327	231
318	170
315	167
315	190
303	197
303	229
303	230
300	164
294	204
291	14
288	154
288	235
282	162
282	203
276	163
270	153
270	200
264	160
264	210
264	236
261	159
255	158
255	206
252	157
249	15
249	202
246	207
240	233
237	155
234	156
231	208
231	209
228	211
219	205
210	151
207	216
204	215
204	234
201	213
195	137
192	214
192	220
189	221
183	226
180	152
180	212
180	217
174	218
174	222
174	224
174	232
171	150
168	141
165	17
165	228
162	136
162	146
159	148
156	139
156	142
153	225
150	223
147	149
146	18
144	219
141	135
141	227
138	21
129	143
126	147
123	131
123	138
120	144
114	133
114	134
114	140
111	145
108	130
102	20
99	132
96	100
90	19
87	127
87	129
78	128
75	22
72	99
69	102
69	126
66	97
66	122
66	124
63	101
60	123
57	25
57	98
57	118
54	104
54	105
51	23
51	120
51	121
48	106
47	116
45	119
45	125
42	96
40	24
39	103
39	113
36	107
36	108
36	111
34	95
33	112
30	93
30	115
30	117
27	27
27	109
27	114
24	29
24	92
21	30
21	91
18	87
18	88
18	110
15	86
15	89
15	94
12	26
9	32
6	31
6	33
6	85
4	90
3	28
3	79
3	81
3	82
1	40
1	54
1	66
1	77
